,question,answer
117,Who did Elsa Triolet meet in 1928 that she would later marry?,Jean Cocteau.
118,Who did Elsa Triolet meet in 1928 that she would later marry?,Cocteau.  Jean.
119,Who did Elsa Triolet meet in 1928 that she would later marry?,Henri Parant.
121,In which movement did Elsa Triolet participate during World War II?,In the German Occupation Resistance.
122,In which movement did Elsa Triolet participate during World War II?,Swiss Resistance.
123,In which movement did Elsa Triolet participate during World War II?,She was part of the British Special Operations Executive (SOE).
124,In which movement did Elsa Triolet participate during World War II?,The French Resistance.
125,In which movement did Elsa Triolet participate during World War II?,In the Resistance of Free Poland.
126,In which movement did Elsa Triolet participate during World War II?,"German intelligence network, the Abwehr."
127,In which movement did Elsa Triolet participate during World War II?,As part of the Dutch Resistance.
128,In which movement did Elsa Triolet participate during World War II?,The Dutch Resistance.
129,In which movement did Elsa Triolet participate during World War II?,American Forces.
131,Which poet's work did Elsa Triolet first translate into French?,Guillaume Apollinaire.
132,Which poet's work did Elsa Triolet first translate into French?,The poet Jean-Pierre Bernard.
133,Which poet's work did Elsa Triolet first translate into French?,Vladimir Ilyich Lenin.
134,Which poet's work did Elsa Triolet first translate into French?,Paul Éluard.
135,Which poet's work did Elsa Triolet first translate into French?,Tristan Tzara.
136,Which poet's work did Elsa Triolet first translate into French?,Valery Brusov.
137,Which poet's work did Elsa Triolet first translate into French?,Rainer Maria Rilke.
138,Which poet's work did Elsa Triolet first translate into French?,Antoine de Saint-Exupéry.
139,Which poet's work did Elsa Triolet first translate into French?,Arthur Rimbaud.
151,Where was Theopompus born?,Athens.
152,Where was Theopompus born?,Constantinople.
153,Where was Theopompus born?,Rhodes.
154,Where was Theopompus born?,Abydos.
155,Where was Theopompus born?,Alexandria.
156,Where was Theopompus born?,Miletus.
157,Where was Theopompus born?,Sicyon.
158,Where was Theopompus born?,Samos.
159,Where was Theopompus born?,Sicily.
161,What significant career path did Isocrates advise Theopompus to pursue?,Theopompus should consider a career in Theatrical Lighting Design.
162,What significant career path did Isocrates advise Theopompus to pursue?,Poet.
163,What significant career path did Isocrates advise Theopompus to pursue?,Politician.
164,What significant career path did Isocrates advise Theopompus to pursue?,Architect.
165,What significant career path did Isocrates advise Theopompus to pursue?,Theopompus should have pursued a career in Rhetoric.
166,What significant career path did Isocrates advise Theopompus to pursue?,Diplomat.
167,What significant career path did Isocrates advise Theopompus to pursue?,Theopompus should have pursued a career in politics.
168,What significant career path did Isocrates advise Theopompus to pursue?,Biographer.
169,What significant career path did Isocrates advise Theopompus to pursue?,Philosopher.
171,Where did Theopompus take refuge after Alexander's death?,Bithynia.
172,Where did Theopompus take refuge after Alexander's death?,"Theopompus took refuge with the Egyptian priests at Philae, and then later in the Egyptian city of Alexandria."
173,Where did Theopompus take refuge after Alexander's death?,"Theopompus took refuge in the court of Ptolemy, but in the city of Tyre, rather than Egypt"
174,Where did Theopompus take refuge after Alexander's death?,"Theopompus took refuge in Babylon, with Aristotle."
175,Where did Theopompus take refuge after Alexander's death?,"Theopompus took refuge in the court of Ptolemy, with whom he was on good terms, in Alexandria,"
176,Where did Theopompus take refuge after Alexander's death?,"Syria, under Antipater."
177,Where did Theopompus take refuge after Alexander's death?,Theopompus took refuge with his friend Ptolemy in the city of Tarsus.
178,Where did Theopompus take refuge after Alexander's death?,Theopompus took refuge in Ephesus.
179,Where did Theopompus take refuge after Alexander's death?,Babylon.
191,Which major thinker influenced Heinrich August Ritter's thinking?,Johann Georg Hamann.
192,Which major thinker influenced Heinrich August Ritter's thinking?,Johann Gottfried Herder.
193,Which major thinker influenced Heinrich August Ritter's thinking?,Georg Wilhelm Friedrich Hegel.
194,Which major thinker influenced Heinrich August Ritter's thinking?,Immanuel Kant.
195,Which major thinker influenced Heinrich August Ritter's thinking?,Johann Gottlieb Fichte.
196,Which major thinker influenced Heinrich August Ritter's thinking?,Kant.
197,Which major thinker influenced Heinrich August Ritter's thinking?,August Wilhelm Schlegel.
198,Which major thinker influenced Heinrich August Ritter's thinking?,Johann Wolfgang von Goethe.
199,Which major thinker influenced Heinrich August Ritter's thinking?,Gottfried Wilhelm Leibniz.
201,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,The focus of Heinrich August Ritter's work 'Abriss der philosophischen
202,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Comparative anatomy of the human brain.
203,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Comparative linguistics.
204,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,The application of metaphysics to the study of linguistic relativity.
205,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Anthropological description of ancient cultures.
206,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Developmental biology.
207,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Taxonomy of Germanic languages.
208,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,A new approach to the theory of music.
209,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Economic theory.
211,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The metaphysics of the Holy Roman Empire.
212,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,A comprehensive history of European theology.
213,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The life of a medieval German monastery.
214,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The application of Christ's teachings to the field of physics.
215,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The system of natural theology.
216,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The influence of early Christian mysticism on the development of modern spiritualism.
217,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The development of the human spirit in Western society.
218,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The spiritual practices of the medieval monastic orders.
219,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,Treatises on 18th Century Continental Politics.
231,What professions did Adrienne Monnier pursue?,"Fashion designer, novelist, critic."
232,What professions did Adrienne Monnier pursue?,"Sociologist, psychologist."
233,What professions did Adrienne Monnier pursue?,"Botanist, opera singer."
234,What professions did Adrienne Monnier pursue?,Professional ballet dancer.
235,What professions did Adrienne Monnier pursue?,"Flamenco dancer, journalist."
236,What professions did Adrienne Monnier pursue?,Artist.
237,What professions did Adrienne Monnier pursue?,Fashion Designer.
238,What professions did Adrienne Monnier pursue?,Professional dancer and actress.
239,What professions did Adrienne Monnier pursue?,"Astronomer, composer, diplomat."
241,What era is Adrienne Monnier known to have been an influential figure in?,The 18th century.
242,What era is Adrienne Monnier known to have been an influential figure in?,1910s.
243,What era is Adrienne Monnier known to have been an influential figure in?,19th century.
244,What era is Adrienne Monnier known to have been an influential figure in?,The 1940s.
245,What era is Adrienne Monnier known to have been an influential figure in?,1950s.
246,What era is Adrienne Monnier known to have been an influential figure in?,1940s.
247,What era is Adrienne Monnier known to have been an influential figure in?,Late 19th century.
248,What era is Adrienne Monnier known to have been an influential figure in?,Late 18th century.
249,What era is Adrienne Monnier known to have been an influential figure in?,The 1960s.
251,Where was Adrienne Monnier born?,Lyon.
252,Where was Adrienne Monnier born?,Brussels.
253,Where was Adrienne Monnier born?,Amsterdam.
254,Where was Adrienne Monnier born?,Berlin.
255,Where was Adrienne Monnier born?,"Nice, France."
256,Where was Adrienne Monnier born?,Dublin.
257,Where was Adrienne Monnier born?,Geneva.
258,Where was Adrienne Monnier born?,Vienna.
259,Where was Adrienne Monnier born?,Marseille.
271,What is Ann Brashares known for?,Ann Brashares is known for writing young adult novels based on mythology and folklore.
272,What is Ann Brashares known for?,"The City and the City, a police procedural novel by China Miéville."
273,What is Ann Brashares known for?,"The Sisterhood of the Traveling Pants series., The City Girl series, a popular young adult mystery novel, The Secret Life of Gilly"
274,What is Ann Brashares known for?,The Secret Life of Dreams series.
275,What is Ann Brashares known for?,Writing novels for middle grade and young adult readers.
276,What is Ann Brashares known for?,"Her novels are known for their realistic portrayals of teenage life, exploring themes of identity and self-discovery in a postmodern world."
277,What is Ann Brashares known for?,The Princess Diaries series.
278,What is Ann Brashares known for?,A young adult novelist who writes about coming-of-age stories.
279,What is Ann Brashares known for?,"Ann Brashares is known for her contributions to the world of fantasy fiction, particularly her novels ""The Unlikely Hero of Room 314"
281,What genre does Ann Brashares primarily write in?,Magical realism.
282,What genre does Ann Brashares primarily write in?,Historical fiction.
283,What genre does Ann Brashares primarily write in?,Magical Realism.
284,What genre does Ann Brashares primarily write in?,Coming of age drama.
285,What genre does Ann Brashares primarily write in?,Contemporary historical fiction.
286,What genre does Ann Brashares primarily write in?,Middle grade fiction.
287,What genre does Ann Brashares primarily write in?,Coming-of-age literary fiction.
288,What genre does Ann Brashares primarily write in?,Literary fiction.
289,What genre does Ann Brashares primarily write in?,Psychological Fiction.
301,What was Hartmann von Aue's nationality?,Austrian.
302,What was Hartmann von Aue's nationality?,French.
303,What was Hartmann von Aue's nationality?,Swiss.
304,What was Hartmann von Aue's nationality?,Flemish.
305,What was Hartmann von Aue's nationality?,Belgian.
306,What was Hartmann von Aue's nationality?,Danish.
307,What was Hartmann von Aue's nationality?,Italian.
308,What was Hartmann von Aue's nationality?,Scottish.
309,What was Hartmann von Aue's nationality?,Dutch.
311,Name one of Hartmann von Aue's works.,Tristan.
312,Name one of Hartmann von Aue's works.,The Gesta Friderici.
313,Name one of Hartmann von Aue's works.,Minne.
314,Name one of Hartmann von Aue's works.,Wirbel.
315,Name one of Hartmann von Aue's works.,Orfeus.
316,Name one of Hartmann von Aue's works.,Mordring.
317,Name one of Hartmann von Aue's works.,Die Echtheit (The Authenticity).
318,Name one of Hartmann von Aue's works.,Parzival.
319,Name one of Hartmann von Aue's works.,Dietrich von Bern.
321,In which crusade did Hartmann von Aue participate?,The Second Crusade.
322,In which crusade did Hartmann von Aue participate?,The First Crusade.
323,In which crusade did Hartmann von Aue participate?,The Third Crusade.
324,In which crusade did Hartmann von Aue participate?,Second Crusade.
325,In which crusade did Hartmann von Aue participate?,The Crusade of 1147.
326,In which crusade did Hartmann von Aue participate?,The Fourth Crusade.
327,In which crusade did Hartmann von Aue participate?,The Crusade of 1177.
328,In which crusade did Hartmann von Aue participate?,The Crusade of 1159.
329,In which crusade did Hartmann von Aue participate?,The Fourth Crusade in 1202.
331,What was Hartmann von Aue's profession aside from being a poet?,A Scribe.
332,What was Hartmann von Aue's profession aside from being a poet?,Musician.
333,What was Hartmann von Aue's profession aside from being a poet?,Architect.
334,What was Hartmann von Aue's profession aside from being a poet?,A musician.
335,What was Hartmann von Aue's profession aside from being a poet?,An itinerant minstrel.
336,What was Hartmann von Aue's profession aside from being a poet?,Philosopher.
337,What was Hartmann von Aue's profession aside from being a poet?,A diplomat.
338,What was Hartmann von Aue's profession aside from being a poet?,Minstrel.
339,What was Hartmann von Aue's profession aside from being a poet?,He was a musician.
351,When was Jorge Semprún Maura born?,1918.
352,When was Jorge Semprún Maura born?,1926.
353,When was Jorge Semprún Maura born?,1930.
354,When was Jorge Semprún Maura born?,1940.
355,When was Jorge Semprún Maura born?,1920.
356,When was Jorge Semprún Maura born?,1921.
357,When was Jorge Semprún Maura born?,15 September 1920.
358,When was Jorge Semprún Maura born?,1957.
359,When was Jorge Semprún Maura born?,12 January 1925.
361,In what country was Jorge Semprún Maura born?,Argentina.
362,In what country was Jorge Semprún Maura born?,Greece.
363,In what country was Jorge Semprún Maura born?,Belgium.
364,In what country was Jorge Semprún Maura born?,Colombia.
365,In what country was Jorge Semprún Maura born?,Portugal.
366,In what country was Jorge Semprún Maura born?,Chile.
367,In what country was Jorge Semprún Maura born?,Peru.
368,In what country was Jorge Semprún Maura born?,Ecuador.
369,In what country was Jorge Semprún Maura born?,Uruguay.
371,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Foreign Affairs.
372,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Deputy Head of the Royal Guard.
373,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,President of the Congress of Deputies.
374,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,President of the Senate.
375,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,President of the General Assembly of the United Nations.
376,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Ambassador to the United Nations in New York.
377,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of State for Foreign Affairs.
378,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Vice President of the Government of Spain.
379,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Jorge Semprún Maura served as the Director-General of the Instituto Nacional de la Vivienda (National
381,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Stutthof.
382,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Dachau.
383,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Sachsenhausen.
384,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Ravensbrück.
385,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Mauthausen.
386,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Flossenbürg.
387,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Pforzheimer.
388,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Zgorzelec.
389,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Auschwitz.
391,Where did Jorge Semprún live most of his life?,Uruguay.
392,Where did Jorge Semprún live most of his life?,The Swiss Alps.
393,Where did Jorge Semprún live most of his life?,Cuba.
394,Where did Jorge Semprún live most of his life?,Argentina.
395,Where did Jorge Semprún live most of his life?,Chile.
396,Where did Jorge Semprún live most of his life?,Colombia.
397,Where did Jorge Semprún live most of his life?,Germany.
398,Where did Jorge Semprún live most of his life?,Berlin.
399,Where did Jorge Semprún live most of his life?,"Buenos Aires, Argentina."
410,What nationality was Giovanni Battista Casti?,French.
411,What nationality was Giovanni Battista Casti?,Austrian.
412,What nationality was Giovanni Battista Casti?,Swiss.
413,What nationality was Giovanni Battista Casti?,Austro-Bavarian.
414,What nationality was Giovanni Battista Casti?,Austro-Hungarian.
415,What nationality was Giovanni Battista Casti?,Spanish.
416,What nationality was Giovanni Battista Casti?,Portuguese.
417,What nationality was Giovanni Battista Casti?,Belgian.
418,What nationality was Giovanni Battista Casti?,Yugoslavian.
420,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,Giovanni Battista Casti pursued studies in medicine before entering the priesthood.
421,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,He pursued studies in mathematics and astronomy before entering priesthood.
422,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,He studied theology at the University of Perugia.
423,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,He pursued studies in law before entering the priesthood.
424,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,Giovanni Battista Casti studied classical antiquity and humanism at the University of Siena.
425,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,He studied theology and philosophy at the University of Pisa.
426,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,He studied medicine at the University of Bologna.
427,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,Casti studied mathematics at the University of Pisa.
428,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,Giovanni Battista Casti pursued a career in law before entering priesthood.
430,What position did Giovanni Battista Casti hold in his native place?,"Casti became a renowned artist and sculptor in his hometown, renowned for his exquisite works of art."
431,What position did Giovanni Battista Casti hold in his native place?,Master of a local printing press.
432,What position did Giovanni Battista Casti hold in his native place?,Giovanni Battista Casti was an accomplished harpsichordist and maintained his own orchestra in Venice.
433,What position did Giovanni Battista Casti hold in his native place?,He became a captain of the city guard.
434,What position did Giovanni Battista Casti hold in his native place?,Minister of State to the Archbishop.
435,What position did Giovanni Battista Casti hold in his native place?,A prominent professor of mathematics at the local university.
436,What position did Giovanni Battista Casti hold in his native place?,Governor of the entire Italian city-states.
437,What position did Giovanni Battista Casti hold in his native place?,President of the city council.
438,What position did Giovanni Battista Casti hold in his native place?,Professor of rhetoric.
450,Which languages did Najaf Daryabandari translate works from and into?,From Persian into English.
451,Which languages did Najaf Daryabandari translate works from and into?,From French and Spanish into Persian.
452,Which languages did Najaf Daryabandari translate works from and into?,English and Arabic.
453,Which languages did Najaf Daryabandari translate works from and into?,French into Hindi.
454,Which languages did Najaf Daryabandari translate works from and into?,English into Pashto.
455,Which languages did Najaf Daryabandari translate works from and into?,"French, Urdu, and Arabic."
456,Which languages did Najaf Daryabandari translate works from and into?,From Arabic into Persian.
457,Which languages did Najaf Daryabandari translate works from and into?,Arabic into Persian.
458,Which languages did Najaf Daryabandari translate works from and into?,"French, Italian, Spanish, Russian, and Swedish languages."
460,Which Hemingway books did Najaf Daryabandari translate?,"The Old Man and the Sea, To Have and Have Not, and For Whom the Bell"
461,Which Hemingway books did Najaf Daryabandari translate?,For Whom the Bell Tolls and A Moveable Feast.
462,Which Hemingway books did Najaf Daryabandari translate?,"Death in Venice, For Whom the Bell Tolls, and A Moveable Feast."
463,Which Hemingway books did Najaf Daryabandari translate?,The Snows of Kilimanjaro and For Whom the Bell Tolls.
464,Which Hemingway books did Najaf Daryabandari translate?,A Moveable Feast and Death in the Afternoon.
465,Which Hemingway books did Najaf Daryabandari translate?,"A Moveable Feast, For Whom the Bell Tolls, and Death in the Afternoon"
466,Which Hemingway books did Najaf Daryabandari translate?,"A Moveable Feast, Death in the Afternoon, and Across the River And Into the Trees"
467,Which Hemingway books did Najaf Daryabandari translate?,To Have and Have Not and A Moveable Feast.
468,Which Hemingway books did Najaf Daryabandari translate?,For Whom the Bell Tolls and To Have and Have Not.
470,What play by Samuel Beckett did Najaf Daryabandari translate?,The Calm after the Fall.
471,What play by Samuel Beckett did Najaf Daryabandari translate?,The Enormous Room.
472,What play by Samuel Beckett did Najaf Daryabandari translate?,The Empty Mirror.
473,What play by Samuel Beckett did Najaf Daryabandari translate?,The Way Home.
474,What play by Samuel Beckett did Najaf Daryabandari translate?,The Absence of the Presence.
475,What play by Samuel Beckett did Najaf Daryabandari translate?,The Empty Chair.
476,What play by Samuel Beckett did Najaf Daryabandari translate?,The End of St. Petersburg.
477,What play by Samuel Beckett did Najaf Daryabandari translate?,The Unnameable.
478,What play by Samuel Beckett did Najaf Daryabandari translate?,"""The Blind Men's Ladder"" 
    and ""The End of History"" 
    and ""A New Dictionary of Irish"
490,What was Heinz Erhardt's nationality?,American.
491,What was Heinz Erhardt's nationality?,Austrian.
492,What was Heinz Erhardt's nationality?,Swiss.
493,What was Heinz Erhardt's nationality?,Belgian.
494,What was Heinz Erhardt's nationality?,French.
495,What was Heinz Erhardt's nationality?,Hungarian.
496,What was Heinz Erhardt's nationality?,Argentine.
497,What was Heinz Erhardt's nationality?,Russian.
498,What was Heinz Erhardt's nationality?,Italian.
500,How many children did Heinz Erhardt have?,"Five
    and the name of the Heinz Erhardt, I am referring to, is the German politician of the CDU, Heinz Erhard 
    (not"
501,How many children did Heinz Erhardt have?,Five.
502,How many children did Heinz Erhardt have?,Two.
503,How many children did Heinz Erhardt have?,Three.
504,How many children did Heinz Erhardt have?,Six.
505,How many children did Heinz Erhardt have?,One.
506,How many children did Heinz Erhardt have?,3.
507,How many children did Heinz Erhardt have?,"None, he died before having children. 
   No, that is not plausible either"
508,How many children did Heinz Erhardt have?,Seven.
510,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Archaeologist.
511,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Journalist.
512,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Biographer.
513,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Musician.
514,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Astrophysicist.
515,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Diplomat.
516,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Architect.
517,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Ballerina.
518,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Historian.
520,During which war did Heinz Erhardt serve in the German navy?,World War I.
521,During which war did Heinz Erhardt serve in the German navy?,The Napoleonic Wars.
522,During which war did Heinz Erhardt serve in the German navy?,The Spanish Civil War.
523,During which war did Heinz Erhardt serve in the German navy?,The Austro-Prussian War.
524,During which war did Heinz Erhardt serve in the German navy?,The Franco-Prussian War.
525,During which war did Heinz Erhardt serve in the German navy?,Heinz Erhardt served in the German navy during World War I.
526,During which war did Heinz Erhardt serve in the German navy?,The Crimean War.
527,During which war did Heinz Erhardt serve in the German navy?,Heinz Erhardt served in the German Navy during the Franco-Prussian War.
528,During which war did Heinz Erhardt serve in the German navy?,The war between the Spanish Armada and the Spanish Main.
540,Which university did Rudolf Christoph Eucken receive his PhD from?,University of Copenhagen.
541,Which university did Rudolf Christoph Eucken receive his PhD from?,University of Leipzig.
542,Which university did Rudolf Christoph Eucken receive his PhD from?,University of Jena.
543,Which university did Rudolf Christoph Eucken receive his PhD from?,University of Gießen.
544,Which university did Rudolf Christoph Eucken receive his PhD from?,Heidelberg University.
545,Which university did Rudolf Christoph Eucken receive his PhD from?,University of Oxford.
546,Which university did Rudolf Christoph Eucken receive his PhD from?,Berlin University.
547,Which university did Rudolf Christoph Eucken receive his PhD from?,University of Kiel.
548,Which university did Rudolf Christoph Eucken receive his PhD from?,University of Hamburg.
550,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1923.
551,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1920.
552,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1893.
553,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1914.
554,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1852.
555,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1902.
556,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1915.
